name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
Erling Haaland,Centre-Forward,21,150.0,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,60.0,False
Antony,Right Winger,22,35.0,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,95.0,False
Wesley Fofana,Centre-Back,21,40.0,England,Premier League,Leicester City,England,Premier League,Chelsea FC,80.4,False
Aurélien Tchouameni,Defensive Midfield,22,60.0,Monaco,Ligue 1,AS Monaco,Spain,LaLiga,Real Madrid,80.0,False
Darwin Núñez,Centre-Forward,23,55.0,Portugal,Liga Portugal,SL Benfica,England,Premier League,Liverpool FC,75.0,False
Casemiro,Defensive Midfield,30,40.0,Spain,LaLiga,Real Madrid,England,Premier League,Manchester United,70.65,False
Alexander Isak,Centre-Forward,22,30.0,Spain,LaLiga,Real Sociedad,England,Premier League,Newcastle United,70.0,False
Matthijs de Ligt,Centre-Back,22,70.0,Italy,Serie A,Juventus FC,Germany,Bundesliga,Bayern Munich,67.0,False
Raheem Sterling,Left Winger,27,70.0,England,Premier League,Manchester City,England,Premier League,Chelsea FC,56.2,False
Sadio Mané,Left Winger,30,70.0,England,Premier League,Liverpool FC,Germany,Bundesliga,Bayern Munich,32.0,False
Romelu Lukaku,Centre-Forward,29,70.0,England,Premier League,Chelsea FC,Italy,Serie A,Inter Milan,8.0,True
Marc Cucurella,Left-Back,24,28.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Chelsea FC,65.3,False
Federico Chiesa,Right Winger,24,65.0,Italy,Serie A,ACF Fiorentina,Italy,Serie A,Juventus FC,40.0,False
Jules Koundé,Centre-Back,23,60.0,Spain,LaLiga,Sevilla FC,Spain,LaLiga,FC Barcelona,50.0,False
Richarlison,Centre-Forward,25,48.0,England,Premier League,Everton FC,England,Premier League,Tottenham Hotspur,58.0,False
Raphinha,Right Winger,25,45.0,England,Premier League,Leeds United,Spain,LaLiga,FC Barcelona,58.0,False
Lisandro Martínez,Centre-Back,24,32.0,Netherlands,Eredivisie,Ajax Amsterdam,England,Premier League,Manchester United,57.37,False
Fabián Ruiz,Central Midfield,26,55.0,Italy,Serie A,SSC Napoli,France,Ligue 1,Paris Saint-Germain,23.0,False
Gabriel Jesus,Centre-Forward,25,50.0,England,Premier League,Manchester City,England,Premier League,Arsenal FC,52.2,False
Cristian Romero,Centre-Back,24,48.0,Italy,Serie A,Atalanta BC,England,Premier League,Tottenham Hotspur,50.0,False
Kalvin Phillips,Defensive Midfield,26,50.0,England,Premier League,Leeds United,England,Premier League,Manchester City,49.0,False
Carlos Soler,Central Midfield,25,50.0,Spain,LaLiga,Valencia CF,France,Ligue 1,Paris Saint-Germain,18.0,False
Paul Pogba,Central Midfield,29,48.0,England,Premier League,Manchester United,Italy,Serie A,Juventus FC,0,False
Robert Lewandowski,Centre-Forward,33,45.0,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,FC Barcelona,45.0,False
Matheus Nunes,Central Midfield,23,35.0,Portugal,Liga Portugal,Sporting CP,England,Premier League,Wolverhampton Wanderers,45.0,False
Franck Kessié,Central Midfield,25,45.0,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,0,False
Lucas Paquetá,Attacking Midfield,25,35.0,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42.95,False
Amine Gouiri,Centre-Forward,22,42.0,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28.0,False
Vitinha,Central Midfield,22,30.0,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41.5,False
Bremer,Centre-Back,25,35.0,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,41.0,False
Nuno Mendes,Left-Back,20,40.0,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38.0,False
Gonçalo Guedes,Left Winger,25,40.0,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32.6,False
Diego Carlos,Centre-Back,29,40.0,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31.0,False
Antonio Rüdiger,Centre-Back,29,40.0,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,0,False
Kalidou Koulibaly,Centre-Back,31,35.0,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38.0,False
Sven Botman,Centre-Back,22,30.0,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37.0,False
Gianluca Scamacca,Centre-Forward,23,30.0,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,36.0,False
Fábio Vieira,Attacking Midfield,22,25.0,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35.0,False
Nayef Aguerd,Centre-Back,26,12.0,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35.0,False
Oleksandr Zinchenko,Left-Back,25,25.0,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35.0,False
Amadou Onana,Defensive Midfield,20,10.0,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35.0,False
Sébastien Haller,Centre-Forward,28,35.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31.0,False
Karim Adeyemi,Right Winger,20,35.0,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30.0,False
Yves Bissouma,Central Midfield,25,35.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29.2,False
Timo Werner,Centre-Forward,26,35.0,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20.0,False
Ryan Gravenberch,Central Midfield,20,35.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18.5,False
Niklas Süle,Centre-Back,26,35.0,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,0,False
Andreas Christensen,Centre-Back,26,35.0,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,False
Paulo Dybala,Second Striker,28,35.0,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,0,False
Nico Schlotterbeck,Centre-Back,22,33.0,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20.0,False
Brenden Aaronson,Attacking Midfield,21,25.0,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32.84,False
Charles De Ketelaere,Attacking Midfield,21,30.0,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,32.0,False
Steven Bergwijn,Left Winger,24,18.0,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31.25,False
Manuel Akanji,Centre-Back,27,30.0,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,17.5,False
André Zambo Anguissa,Defensive Midfield,26,30.0,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,15.0,False
Renan Lodi,Left-Back,24,30.0,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5.0,True
Tanguy Ndombélé,Central Midfield,25,30.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,0.5,True
Angeliño,Left-Back,25,30.0,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,0,True
Morgan Gibbs-White,Attacking Midfield,22,11.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29.5,False
Renato Sanches,Central Midfield,24,28.0,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15.0,False
Leander Dendoncker,Defensive Midfield,27,28.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15.0,False
Giacomo Raspadori,Second Striker,22,28.0,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5.0,True
Hugo Ekitiké,Centre-Forward,20,28.0,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,0,True
Mohamed Camara,Defensive Midfield,22,27.0,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15.0,False
Xaver Schlager,Central Midfield,24,27.0,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12.0,False
Denis Zakaria,Defensive Midfield,25,27.0,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3.0,True
David Raum,Left-Back,24,20.0,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26.0,False
Luis Sinisterra,Left Winger,23,25.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25.0,False
Merih Demiral,Centre-Back,24,25.0,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,20.0,False
João Palhinha,Defensive Midfield,26,25.0,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,20.0,False
Sasa Kalajdzic,Centre-Forward,25,25.0,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18.0,False
Mattéo Guendouzi,Central Midfield,23,25.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11.0,False
Pedro Porro,Right-Back,22,25.0,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8.5,False
Lucas Ocampos,Left Winger,28,25.0,Spain,LaLiga,Sevilla FC,Netherlands,Eredivisie,Ajax Amsterdam,4.0,True
Lorenzo Insigne,Left Winger,31,25.0,Italy,Serie A,SSC Napoli,Canada,MLS,Toronto FC,0,False
Boubacar Kamara,Defensive Midfield,22,25.0,France,Ligue 1,Olympique Marseille,England,Premier League,Aston Villa,0,False
Conor Coady,Centre-Back,29,25.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Everton FC,0,True
Nicolas Pépé,Right Winger,27,25.0,England,Premier League,Arsenal FC,France,Ligue 1,OGC Nice,0,True
Callum Hudson-Odoi,Right Winger,21,25.0,England,Premier League,Chelsea FC,Germany,Bundesliga,Bayer 04 Leverkusen,0,True
Sergio Reguilón,Left-Back,25,25.0,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Atlético de Madrid,0,True
Nathan Collins,Centre-Back,21,10.0,England,Championship,Burnley FC,England,Premier League,Wolverhampton Wanderers,24.3,False
Dwight McNeil,Left Winger,22,18.0,England,Championship,Burnley FC,England,Premier League,Everton FC,24.0,False
Filip Kostic,Left Midfield,29,24.0,Germany,Bundesliga,Eintracht Frankfurt,Italy,Serie A,Juventus FC,12.0,False
Joaquín Correa,Second Striker,27,23.0,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,23.6,False
Calvin Bassey,Centre-Back,22,10.0,Scotland,Premiership,Rangers FC,Netherlands,Eredivisie,Ajax Amsterdam,23.0,False
Jérémie Boga,Left Winger,25,19.0,Italy,Serie A,US Sassuolo,Italy,Serie A,Atalanta BC,22.0,False
Sofiane Diop,Left Winger,22,20.0,Monaco,Ligue 1,AS Monaco,France,Ligue 1,OGC Nice,22.0,False
Thilo Kehrer,Centre-Back,25,22.0,France,Ligue 1,Paris Saint-Germain,England,Premier League,West Ham United,12.0,False
Cengiz Ünder,Right Winger,24,22.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,8.4,False
James Tarkowski,Centre-Back,29,22.0,England,Championship,Burnley FC,England,Premier League,Everton FC,0,False
Giovani Lo Celso,Central Midfield,26,22.0,England,Premier League,Tottenham Hotspur,Spain,LaLiga,Villarreal CF,0,True
Julian Weigl,Defensive Midfield,26,22.0,Portugal,Liga Portugal,SL Benfica,Germany,Bundesliga,Borussia Mönchengladbach,0,True
Jan Bednarek,Centre-Back,26,22.0,England,Premier League,Southampton FC,England,Premier League,Aston Villa,0,True
Éderson,Central Midfield,22,13.0,Italy,Serie A,US Salernitana 1919,Italy,Serie A,Atalanta BC,21.0,False
Maxwel Cornet,Left Winger,25,15.0,England,Championship,Burnley FC,England,Premier League,West Ham United,20.7,False
Taiwo Awoniyi,Centre-Forward,24,20.0,Germany,Bundesliga,1.FC Union Berlin,England,Premier League,Nottingham Forest,20.5,False
Philippe Coutinho,Left Winger,30,20.0,Spain,LaLiga,FC Barcelona,England,Premier League,Aston Villa,20.0,False
David Carmo,Centre-Back,22,15.0,Portugal,Liga Portugal,SC Braga,Portugal,Liga Portugal,FC Porto,20.0,False
Neco Williams,Right-Back,21,8.0,England,Premier League,Liverpool FC,England,Premier League,Nottingham Forest,20.0,False
Mathys Tel,Centre-Forward,17,2.0,France,Ligue 1,Stade Rennais FC,Germany,Bundesliga,Bayern Munich,20.0,False
Nahuel Molina,Right-Back,24,20.0,Italy,Serie A,Udinese Calcio,Spain,LaLiga,Atlético de Madrid,20.0,False
Arnaud Kalimuendo,Centre-Forward,20,18.0,France,Ligue 1,Paris Saint-Germain,France,Ligue 1,Stade Rennais FC,20.0,False
Umar Sadiq,Centre-Forward,25,18.0,Spain,LaLiga,UD Almería,Spain,LaLiga,Real Sociedad,20.0,False
Pervis Estupiñán,Left-Back,24,20.0,Spain,LaLiga,Villarreal CF,England,Premier League,Brighton & Hove Albion,17.8,False
David Neres,Right Winger,25,20.0,Ukraine,Premier Liga,Shakhtar Donetsk,Portugal,Liga Portugal,SL Benfica,15.3,False
Dodô,Right-Back,23,20.0,Ukraine,Premier Liga,Shakhtar Donetsk,Italy,Serie A,ACF Fiorentina,14.5,False
Adam Hlozek,Left Winger,19,20.0,Czech Republic,Fortuna Liga,AC Sparta Prague,Germany,Bundesliga,Bayer 04 Leverkusen,13.0,False
Nordi Mukiele,Right-Back,24,20.0,Germany,Bundesliga,RB Leipzig,France,Ligue 1,Paris Saint-Germain,12.0,False
Remo Freuler,Central Midfield,30,20.0,Italy,Serie A,Atalanta BC,England,Premier League,Nottingham Forest,9.0,False
Lucas Torreira,Defensive Midfield,26,20.0,England,Premier League,Arsenal FC,Turkey,Süper Lig,Galatasaray,6.0,False
Francisco Trincão,Right Winger,22,20.0,Spain,LaLiga,FC Barcelona,Portugal,Liga Portugal,Sporting CP,3.0,True
Antonin Barak,Attacking Midfield,27,20.0,Italy,Serie A,Hellas Verona,Italy,Serie A,ACF Fiorentina,1.5,True
Noussair Mazraoui,Right-Back,24,20.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,0,False
Christian Eriksen,Attacking Midfield,30,20.0,England,Premier League,Brentford FC,England,Premier League,Manchester United,0,False
Andrea Pinamonti,Centre-Forward,23,20.0,Italy,Serie A,Inter Milan,Italy,Serie A,US Sassuolo,0,True
Nico González,Central Midfield,20,20.0,Spain,LaLiga,FC Barcelona,Spain,LaLiga,Valencia CF,0,True
Andrea Belotti,Centre-Forward,28,20.0,Italy,Serie A,Torino FC,Italy,Serie A,AS Roma,0,False
Héctor Bellerín,Right-Back,27,20.0,England,Premier League,Arsenal FC,Spain,LaLiga,FC Barcelona,0,False
Keane Lewis-Potter,Left Winger,21,12.0,England,Championship,Hull City,England,Premier League,Brentford FC,19.0,False
Arthur Theate,Centre-Back,22,15.0,Italy,Serie A,Bologna FC 1909,France,Ligue 1,Stade Rennais FC,19.0,False
Hassane Kamara,Left-Back,28,4.0,England,Championship,Watford FC,Italy,Serie A,Udinese Calcio,19.0,False
Min-jae Kim,Centre-Back,25,14.0,Turkey,Süper Lig,Fenerbahce,Italy,Serie A,SSC Napoli,18.05,False
Carney Chukwuemeka,Central Midfield,18,6.0,England,Premier League,Aston Villa,England,Premier League,Chelsea FC,18.0,False
Destiny Udogie,Left-Back,19,17.0,Italy,Serie A,Udinese Calcio,England,Premier League,Tottenham Hotspur,18.0,False
Aaron Hickey,Left-Back,20,18.0,Italy,Serie A,Bologna FC 1909,England,Premier League,Brentford FC,16.5,False
Gaëtan Laborde,Centre-Forward,28,18.0,France,Ligue 1,Stade Rennais FC,France,Ligue 1,OGC Nice,15.0,False
Brais Méndez,Right Winger,25,18.0,Spain,LaLiga,Celta de Vigo,Spain,LaLiga,Real Sociedad,14.0,False
Neal Maupay,Centre-Forward,26,18.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Everton FC,11.8,False
Moussa Niakhaté,Centre-Back,26,18.0,Germany,Bundesliga,1.FSV Mainz 05,England,Premier League,Nottingham Forest,10.0,False
Mattia Zaccagni,Attacking Midfield,27,18.0,Italy,Serie A,Hellas Verona,Italy,Serie A,SS Lazio,7.1,False
Zeki Celik,Right-Back,25,18.0,France,Ligue 1,LOSC Lille,Italy,Serie A,AS Roma,7.0,False
Arthur Melo,Central Midfield,26,18.0,Italy,Serie A,Juventus FC,England,Premier League,Liverpool FC,4.5,True
Julian Draxler,Left Winger,28,18.0,France,Ligue 1,Paris Saint-Germain,Portugal,Liga Portugal,SL Benfica,2.5,True
Abdou Diallo,Centre-Back,26,18.0,France,Ligue 1,Paris Saint-Germain,Germany,Bundesliga,RB Leipzig,1.5,True
Matthias Ginter,Centre-Back,28,18.0,Germany,Bundesliga,Borussia Mönchengladbach,Germany,Bundesliga,SC Freiburg,0,False
Jesse Lingard,Attacking Midfield,29,18.0,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,False
Dean Henderson,Goalkeeper,25,18.0,England,Premier League,Manchester United,England,Premier League,Nottingham Forest,0,True
Alex Telles,Left-Back,29,18.0,England,Premier League,Manchester United,Spain,LaLiga,Sevilla FC,0,True
Georginio Wijnaldum,Central Midfield,31,18.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,AS Roma,0,True
Sergiño Dest,Right-Back,21,18.0,Spain,LaLiga,FC Barcelona,Italy,Serie A,AC Milan,0,True
André Gomes,Central Midfield,29,18.0,England,Premier League,Everton FC,France,Ligue 1,LOSC Lille,0,True
Daniel James,Right Winger,24,18.0,England,Premier League,Leeds United,England,Premier League,Fulham FC,0,True
Issa Diop,Centre-Back,25,10.0,England,Premier League,West Ham United,England,Premier League,Fulham FC,17.8,False
Matt Targett,Left-Back,26,17.0,England,Premier League,Aston Villa,England,Premier League,Newcastle United,17.5,False
Tyler Adams,Defensive Midfield,23,17.0,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17.0,False
Rasmus Höjlund,Centre-Forward,19,4.5,Austria,Bundesliga,SK Sturm Graz,Italy,Serie A,Atalanta BC,17.0,False
Wout Faes,Centre-Back,24,10.0,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17.0,False
Tyrell Malacia,Left-Back,22,17.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15.0,False
Marcos Senesi,Centre-Back,25,17.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15.0,False
Jordan Veretout,Central Midfield,29,17.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,11.0,False
Giovanni Simeone,Centre-Forward,26,17.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10.5,False
Destiny Udogie,Left-Back,19,17.0,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4.0,False
Giovanni Simeone,Centre-Forward,27,17.0,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3.5,True
Alessio Romagnoli,Centre-Back,27,17.0,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,0,False
Chancel Mbemba,Centre-Back,27,17.0,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,0,False
Destiny Udogie,Left-Back,19,17.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,0,True
Leandro Paredes,Defensive Midfield,28,17.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,0,True
Kasper Dolberg,Centre-Forward,24,17.0,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,0,True
Yusuf Yazici,Attacking Midfield,25,17.0,France,Ligue 1,LOSC Lille,Turkey,Süper Lig,Trabzonspor,0,True
Hee-chan Hwang,Centre-Forward,26,16.0,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16.7,False
Brian Brobbey,Centre-Forward,20,9.0,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16.35,False
Tanguy Nianzou,Centre-Back,20,9.0,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16.0,False
Roman Yaremchuk,Centre-Forward,26,15.0,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,Club Brugge KV,16.0,False
Duje Caleta-Car,Centre-Back,25,16.0,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,10.0,False
Jeremiah St. Juste,Centre-Back,25,16.0,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,9.5,False
Arkadiusz Milik,Centre-Forward,28,16.0,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8.0,False
Arkadiusz Milik,Centre-Forward,28,16.0,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,0.9,True
Randal Kolo Muani,Centre-Forward,23,16.0,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,0,False
Luiz Felipe,Centre-Back,25,16.0,Italy,Serie A,SS Lazio,Spain,LaLiga,Real Betis Balompié,0,False
Matteo Pessina,Attacking Midfield,25,16.0,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,0,True
Luka Jović,Centre-Forward,24,16.0,Spain,LaLiga,Real Madrid,Italy,Serie A,ACF Fiorentina,0,False
Bertrand Traoré,Right Winger,26,16.0,England,Premier League,Aston Villa,Turkey,Süper Lig,Basaksehir FK,0,True
Dele Alli,Attacking Midfield,26,16.0,England,Premier League,Everton FC,Turkey,Süper Lig,Besiktas JK,0,True
Cheick Doucouré,Defensive Midfield,22,15.0,France,Ligue 1,RC Lens,England,Premier League,Crystal Palace,22.6,False
Takumi Minamino,Left Winger,27,12.0,England,Premier League,Liverpool FC,Monaco,Ligue 1,AS Monaco,15.0,False
Mikkel Damsgaard,Left Winger,22,15.0,Italy,Serie A,UC Sampdoria,England,Premier League,Brentford FC,15.0,False
Cesare Casadei,Central Midfield,19,1.0,Italy,Primavera 1,Inter Milan Primavera,England,Premier League 2,Chelsea FC U21,15.0,False
Éverton,Left Winger,26,15.0,Portugal,Liga Portugal,SL Benfica,Brazil,Série A,Clube de Regatas do Flamengo,13.5,False
Rasmus Kristensen,Right-Back,24,15.0,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,13.0,False
Orel Mangala,Central Midfield,24,15.0,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Nottingham Forest,13.0,False
Breel Embolo,Centre-Forward,25,15.0,Germany,Bundesliga,Borussia Mönchengladbach,Monaco,Ligue 1,AS Monaco,12.5,False
Pierre-Emerick Aubameyang,Centre-Forward,33,15.0,Spain,LaLiga,FC Barcelona,England,Premier League,Chelsea FC,12.0,False
Nick Pope,Goalkeeper,30,15.0,England,Championship,Burnley FC,England,Premier League,Newcastle United,11.5,False
Mathías Olivera,Left-Back,24,15.0,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,11.0,False
Momo Cho,Centre-Forward,18,15.0,France,Ligue 1,Angers SCO,Spain,LaLiga,Real Sociedad,11.0,False
Khvicha Kvaratskhelia,Left Winger,21,15.0,Georgia,Crystalbet Erovnuli Liga,Dinamo Batumi,Italy,Serie A,SSC Napoli,10.0,False
Enzo Fernández,Central Midfield,21,15.0,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,10.0,False
Mattias Svanberg,Central Midfield,23,15.0,Italy,Serie A,Bologna FC 1909,Germany,Bundesliga,VfL Wolfsburg,9.0,False
Jonathan Clauss,Right-Back,29,15.0,France,Ligue 1,RC Lens,France,Ligue 1,Olympique Marseille,7.5,False
Arthur Theate,Centre-Back,22,15.0,Belgium,Jupiler Pro League,KV Oostende,Italy,Serie A,Bologna FC 1909,6.0,False
Konstantinos Mavropanos,Centre-Back,24,15.0,England,Premier League,Arsenal FC,Germany,Bundesliga,VfB Stuttgart,3.2,False
Alexandre Lacazette,Centre-Forward,31,15.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Lyon,0,False
Corentin Tolisso,Central Midfield,27,15.0,Germany,Bundesliga,Bayern Munich,France,Ligue 1,Olympique Lyon,0,False
Fábio Silva,Centre-Forward,20,15.0,England,Premier League,Wolverhampton Wanderers,Belgium,Jupiler Pro League,RSC Anderlecht,0,True
Nuno Tavares,Left-Back,22,15.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,0,True
Harry Winks,Defensive Midfield,26,15.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,UC Sampdoria,0,True
Amad Diallo,Right Winger,20,15.0,England,Premier League,Manchester United,England,Championship,Sunderland AFC,0,True
Justin Kluivert,Left Winger,23,15.0,Italy,Serie A,AS Roma,Spain,LaLiga,Valencia CF,0,True
Emmanuel Dennis,Centre-Forward,24,14.0,England,Championship,Watford FC,England,Premier League,Nottingham Forest,14.8,False
Djed Spence,Right-Back,21,8.0,England,Championship,Middlesbrough FC,England,Premier League,Tottenham Hotspur,14.7,False
Diego Rossi,Left Winger,24,14.5,United States,MLS,Los Angeles FC,Turkey,Süper Lig,Fenerbahce,5.5,False
Emerson,Left-Back,28,14.0,England,Premier League,Chelsea FC,England,Premier League,West Ham United,15.4,False
Gavin Bazunu,Goalkeeper,20,5.0,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,14.0,False
Mohamed Bayo,Centre-Forward,24,12.0,France,Ligue 1,Clermont Foot 63,France,Ligue 1,LOSC Lille,14.0,False
Marcão,Centre-Back,26,14.0,Turkey,Süper Lig,Galatasaray,Spain,LaLiga,Sevilla FC,12.0,False
Sebastian Szymanski,Attacking Midfield,23,14.0,Russia,Premier Liga,Dynamo Moscow,Netherlands,Eredivisie,Feyenoord Rotterdam,2.0,True
Walter Benítez,Goalkeeper,29,14.0,France,Ligue 1,OGC Nice,Netherlands,Eredivisie,PSV Eindhoven,0,False
Wout Weghorst,Centre-Forward,29,14.0,England,Championship,Burnley FC,Turkey,Süper Lig,Besiktas JK,0,True
Yangel Herrera,Central Midfield,24,14.0,England,Premier League,Manchester City,Spain,LaLiga,Girona FC,0,True
Kayky,Right Winger,19,14.0,England,Premier League 2,Manchester City U21,Portugal,Liga Portugal,FC Paços de Ferreira,0,True
Lucas Gourna-Douath,Defensive Midfield,18,10.0,France,Ligue 2,AS Saint-Étienne,Austria,Bundesliga,Red Bull Salzburg,13.0,False
Sékou Mara,Centre-Forward,19,3.0,France,Ligue 2,FC Girondins Bordeaux,England,Premier League,Southampton FC,13.0,False
Mattia Viti,Centre-Back,20,7.0,Italy,Serie A,FC Empoli,France,Ligue 1,OGC Nice,13.0,False
Sergio Gómez,Left-Back,21,10.0,Belgium,Jupiler Pro League,RSC Anderlecht,England,Premier League,Manchester City,13.0,False
Fredrik Aursnes,Defensive Midfield,26,12.0,Netherlands,Eredivisie,Feyenoord Rotterdam,Portugal,Liga Portugal,SL Benfica,13.0,False
Salih Özcan,Defensive Midfield,24,13.0,Germany,Bundesliga,1. FC Köln,Germany,Bundesliga,Borussia Dortmund,5.0,False
Calvin Stengs,Right Winger,23,13.0,France,Ligue 1,OGC Nice,Belgium,Jupiler Pro League,Royal Antwerp FC,0,True
Ethan Ampadu,Centre-Back,21,13.0,England,Premier League,Chelsea FC,Italy,Serie A,Spezia Calcio,0,True
Roméo Lavia,Defensive Midfield,18,2.0,England,Premier League 2,Manchester City U21,England,Premier League,Southampton FC,12.3,False
Pau López,Goalkeeper,27,12.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,12.0,False
Marc Roca,Defensive Midfield,25,7.0,Germany,Bundesliga,Bayern Munich,England,Premier League,Leeds United,12.0,False
